tipo,cve_region,nom_region,pob_2020
Zona metropolitana,09.1.01,Zona metropolitana de la Ciudad de México,21436911
Metropolitan Statistical Area,35620,"New York-Newark-Jersey City, NY-NJ",19940274
Metropolitan Statistical Area,31080,"Los Angeles-Long Beach-Anaheim, CA",12927614
Metropolitan Statistical Area,16980,"Chicago-Naperville-Elgin, IL-IN",9408576
País,00.00.00,Honduras,9304380
Metropolitan Statistical Area,19100,"Dallas-Fort Worth-Arlington, TX",8344032
Metropolitan Statistical Area,26420,"Houston-Pasadena-The Woodlands, TX",7796182
Metropolitan Statistical Area,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6457988
Metropolitan Statistical Area,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6436489
Metropolitan Statistical Area,12060,"Atlanta-Sandy Springs-Roswell, GA",6411149
Metropolitan Statistical Area,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6330422
Zona metropolitana,19.1.01,Zona metropolitana de Monterrey,5322117
Metropolitan Statistical Area,38060,"Phoenix-Mesa-Chandler, AZ",5186958
Zona metropolitana,14.1.01,Zona metropolitana de Guadalajara,5110617
Metropolitan Statistical Area,14460,"Boston-Cambridge-Newton, MA-NH",5025517
Metropolitan Statistical Area,40140,"Riverside-San Bernardino-Ontario, CA",4744214
Metropolitan Statistical Area,41860,"San Francisco-Oakland-Fremont, CA",4648486
Metropolitan Statistical Area,19820,"Detroit-Warren-Dearborn, MI",4400578
Metropolitan Statistical Area,42660,"Seattle-Tacoma-Bellevue, WA",4145494
Metropolitan Statistical Area,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3757952
Metropolitan Statistical Area,45300,"Tampa-St. Petersburg-Clearwater, FL",3424560
Metropolitan Statistical Area,41740,"San Diego-Chula Vista-Carlsbad, CA",3298799
Metropolitan Statistical Area,19740,"Denver-Aurora-Centennial, CO",3052498
Metropolitan Statistical Area,36740,"Orlando-Kissimmee-Sanford, FL",2940513
Metropolitan Statistical Area,16740,"Charlotte-Concord-Gastonia, NC-SC",2883370
Metropolitan Statistical Area,12580,"Baltimore-Columbia-Towson, MD",2859024
Metropolitan Statistical Area,41180,"St. Louis, MO-IL",2811927
Zona metropolitana,21.1.01,Zona metropolitana de Puebla-Tlaxcala,2776893
Metropolitan Statistical Area,41700,"San Antonio-New Braunfels, TX",2763006
Metropolitan Statistical Area,12420,"Austin-Round Rock-San Marcos, TX",2550637
Metropolitan Statistical Area,38900,"Portland-Vancouver-Hillsboro, OR-WA",2537904
Metropolitan Statistical Area,40900,"Sacramento-Roseville-Folsom, CA",2463127
Metropolitan Statistical Area,38300,"Pittsburgh, PA",2429917
Metropolitan Statistical Area,29820,"Las Vegas-Henderson-North Las Vegas, NV",2398871
Zona metropolitana,15.1.01,Zona metropolitana de Toluca,2353924
Metropolitan Statistical Area,17140,"Cincinnati, OH-KY-IN",2302815
Metropolitan Statistical Area,28140,"Kansas City, MO-KS",2253579
Metropolitan Statistical Area,18140,"Columbus, OH",2225377
Metropolitan Statistical Area,26900,"Indianapolis-Carmel-Greenwood, IN",2174833
Metropolitan Statistical Area,17410,"Cleveland, OH",2171877
Metropolitan Statistical Area,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",2150553
Zona metropolitana,02.1.01,Zona metropolitana de Tijuana,2049413
Metropolitan Statistical Area,41940,"San Jose-Sunnyvale-Santa Clara, CA",1995484
Zona metropolitana,11.1.02,Zona metropolitana de León,1935928
Metropolitan Statistical Area,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",1794278
Departamento,00.00.05,Cortés,1785376
Metropolitan Statistical Area,27260,"Jacksonville, FL",1760548
Metropolitan Statistical Area,39300,"Providence-Warwick, RI-MA",1700901
Departamento,00.00.08,Francisco Morazán,1674988
Metropolitan Statistical Area,33340,"Milwaukee-Waukesha, WI",1574452
Metropolitan Statistical Area,39580,"Raleigh-Cary, NC",1562009
Zona metropolitana,22.1.01,Zona metropolitana de Querétaro,1530820
Metrópoli municipal,08.2.03,Metrópoli municipal de Ciudad Juárez,1512450
Metropolitan Statistical Area,36420,"Oklahoma City, OK",1497821
Metropolitan Statistical Area,31140,"Louisville/Jefferson County, KY-IN",1394234
Zona metropolitana,05.1.01,Zona metropolitana de La Laguna,1375248
Metropolitan Statistical Area,40060,"Richmond, VA",1370165
Metropolitan Statistical Area,32820,"Memphis, TN-MS-AR",1339345
Zona metropolitana,31.1.01,Zona metropolitana de Mérida,1324771
Metropolitan Statistical Area,41620,"Salt Lake City-Murray, UT",1300762
Zona metropolitana,24.1.01,Zona metropolitana de San Luis Potosí,1243980
Metropolitan Statistical Area,13820,"Birmingham, AL",1192583
Metropolitan Statistical Area,23420,"Fresno, CA",1189557
Metropolitan Statistical Area,24340,"Grand Rapids-Wyoming-Kentwood, MI",1178826
Metropolitan Statistical Area,25540,"Hartford-West Hartford-East Hartford, CT",1169048
Metropolitan Statistical Area,15380,"Buffalo-Cheektowaga, NY",1160172
Zona metropolitana,01.1.01,Zona metropolitana de Aguascalientes,1140916
Zona metropolitana,17.1.02,Zona metropolitana de Cuernavaca,1121122
Metropolitan Statistical Area,46060,"Tucson, AZ",1080149
Metropolitan Statistical Area,46140,"Tulsa, OK",1059803
Metropolitan Statistical Area,40380,"Rochester, NY",1057218
Metrópoli municipal,02.2.03,Metrópoli municipal de Mexicali,1049792
Zona metropolitana,05.1.04,Zona metropolitana de Saltillo,1031779
Metrópoli municipal,25.2.01,Metrópoli municipal de Culiacán,1003530
Metropolitan Statistical Area,36540,"Omaha, NE-IA",1001010
Metropolitan Statistical Area,46520,"Urban Honolulu, HI",998747
Metropolitan Statistical Area,24860,"Greenville-Anderson-Greer, SC",996680
Zona metropolitana,16.1.02,Zona metropolitana de Morelia,988704
Zona metropolitana,08.1.01,Zona metropolitana de Chihuahua,988065
Metropolitan Statistical Area,14860,"Bridgeport-Stamford-Danbury, CT",972679
Metropolitan Statistical Area,35380,"New Orleans-Metairie, LA",966230
Metropolitan Statistical Area,28940,"Knoxville, TN",957608
Metrópoli municipal,26.2.03,Metrópoli municipal de Hermosillo,936263
Metropolitan Statistical Area,35840,"North Port-Bradenton-Sarasota, FL",934956
Zona metropolitana,23.1.01,Zona metropolitana de Cancún,934189
Zona metropolitana,28.1.02,Zona metropolitana de Tampico,927379
Metropolitan Statistical Area,10740,"Albuquerque, NM",926303
Metropolitan Statistical Area,12540,"Bakersfield-Delano, CA",922529
Metropolitan Statistical Area,32580,"McAllen-Edinburg-Mission, TX",914820
Metropolitan Statistical Area,10580,"Albany-Schenectady-Troy, NY",913485
Metropolitan Statistical Area,10900,"Allentown-Bethlehem-Easton, PA-NJ",886418
Metropolitan Statistical Area,12940,"Baton Rouge, LA",882652
Zona metropolitana,30.1.06,Zona metropolitana de Veracruz,882011
Metropolitan Statistical Area,49340,"Worcester, MA",881248
Metropolitan Statistical Area,21340,"El Paso, TX",879392
Metropolitan Statistical Area,17900,"Columbia, SC",870193
Metropolitan Statistical Area,16700,"Charleston-North Charleston, SC",869940
Metropolitan Statistical Area,15980,"Cape Coral-Fort Myers, FL",860959
Metropolitan Statistical Area,29460,"Lakeland-Winter Haven, FL",852878
Zona metropolitana,07.1.02,Zona metropolitana de Tuxtla Gutiérrez,848274
Metropolitan Statistical Area,14260,"Boise City, ID",845877
Zona metropolitana,28.1.01,Zona metropolitana de Reynosa,837251
Metropolitan Statistical Area,37100,"Oxnard-Thousand Oaks-Ventura, CA",835427
Zona metropolitana,27.1.01,Zona metropolitana de Villahermosa,833907
Metropolitan Statistical Area,19430,"Dayton-Kettering-Beavercreek, OH",821740
Metropolitan Statistical Area,44700,"Stockton-Lodi, CA",816108
Metropolitan Statistical Area,24660,"Greensboro-High Point, NC",800722
Zona metropolitana,30.1.07,Zona metropolitana de Xalapa,798858
Metrópoli municipal,12.2.02,Metrópoli municipal de Acapulco,779566
Metropolitan Statistical Area,17820,"Colorado Springs, CO",777634
Metropolitan Statistical Area,30780,"Little Rock-North Little Rock-Conway, AR",769258
Metropolitan Statistical Area,39340,"Provo-Orem-Lehi, UT",760531
Metropolitan Statistical Area,19780,"Des Moines-West Des Moines, IA",753913
Zona metropolitana,20.1.01,Zona metropolitana de Oaxaca,744912
Metropolitan Statistical Area,19660,"Deltona-Daytona Beach-Ormond Beach, FL",739516
Metropolitan Statistical Area,28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY",711730
Metropolitan Statistical Area,31540,"Madison, WI",707606
Metropolitan Statistical Area,49180,"Winston-Salem, NC",705187
Metropolitan Statistical Area,10420,"Akron, OH",702209
Metrópoli municipal,10.2.01,Metrópoli municipal de Durango,688697
Zona metropolitana,11.1.01,Zona metropolitana de Celaya,684888
Zona metropolitana,29.1.01,Zona metropolitana de Tlaxcala-Apizaco,674510
Metropolitan Statistical Area,36260,"Ogden, UT",667681
Metropolitan Statistical Area,48620,"Wichita, KS",661217
Metropolitan Statistical Area,37340,"Palm Bay-Melbourne-Titusville, FL",658447
Metropolitan Statistical Area,45060,"Syracuse, NY",655189
Metropolitan Statistical Area,12260,"Augusta-Richmond County, GA-SC",636760
Departamento,00.00.18,Yoro,630421
Metropolitan Statistical Area,20500,"Durham-Chapel Hill, NC",620522
Metropolitan Statistical Area,25420,"Harrisburg-Carlisle, PA",615361
Zona metropolitana,13.1.01,Zona metropolitana de Pachuca,610753
Metropolitan Statistical Area,27140,"Jackson, MS",606178
Metropolitan Statistical Area,22220,"Fayetteville-Springdale-Rogers, AR",605615
Metropolitan Statistical Area,44060,"Spokane-Spokane Valley, WA",604962
Metropolitan Statistical Area,45780,"Toledo, OH",601396
Metrópoli municipal,11.2.04,Metrópoli municipal de Irapuato,592953
Metropolitan Statistical Area,16860,"Chattanooga, TN-GA",588050
Departamento,00.00.15,Olancho,578920
Metropolitan Statistical Area,35300,"New Haven, CT",576718
Metropolitan Statistical Area,39900,"Reno, NV",575110
Metropolitan Statistical Area,42540,"Scranton--Wilkes-Barre, PA",574009
Metropolitan Statistical Area,38860,"Portland-South Portland, ME",571534
Metropolitan Statistical Area,29540,"Lancaster, PA",563293
Departamento,00.00.03,Comayagua,562033
Metropolitan Statistical Area,33700,"Modesto, CA",556972
Metropolitan Statistical Area,38940,"Port St. Lucie, FL",556336
Metropolitan Statistical Area,26620,"Huntsville, AL",542297
Metrópoli municipal,28.2.04,Metrópoli municipal de Matamoros,541979
Metropolitan Statistical Area,37860,"Pensacola-Ferry Pass-Brent, FL",538928
Metropolitan Statistical Area,30460,"Lexington-Fayette, KY",533366
Metropolitan Statistical Area,28660,"Killeen-Temple, TX",509487
Metrópoli municipal,25.2.03,Metrópoli municipal de Mazatlán,501441
Metropolitan Statistical Area,44180,"Springfield, MO",496975
Departamento,00.00.07,El Paraíso,495521
Zona metropolitana,18.1.01,Zona metropolitana de Tepic,491153
Departamento,00.00.01,Atlántida,486175
Metropolitan Statistical Area,42220,"Santa Rosa-Petaluma, CA",485375
Metropolitan Statistical Area,47300,"Visalia, CA",483546
Metropolitan Statistical Area,48900,"Wilmington, NC",480522
Metropolitan Statistical Area,29620,"Lansing-East Lansing, MI",479971
Zona metropolitana,14.1.02,Zona metropolitana de Puerto Vallarta,479471
Departamento,00.00.06,Choluteca,475283
Metropolitan Statistical Area,49620,"York-Hanover, PA",471240
Departamento,00.00.16,Santa Barbara,469578
Zona metropolitana,30.1.04,Zona metropolitana de Orizaba,468923
Metropolitan Statistical Area,44140,"Springfield, MA",464151
Metropolitan Statistical Area,23060,"Fort Wayne, IN",462978
Metropolitan Statistical Area,47930,"Waterbury-Shelton, CT",462220
Metrópoli municipal,25.2.02,Metrópoli municipal de Los Mochis,459310
Metropolitan Statistical Area,46700,"Vallejo, CA",455101
Metropolitan Statistical Area,18580,"Corpus Christi, TX",450187
Metropolitan Statistical Area,42200,"Santa Maria-Santa Barbara, CA",444500
Metrópoli municipal,02.2.02,Metrópoli municipal de Ensenada,443807
Metropolitan Statistical Area,41420,"Salem, OR",443416
Metropolitan Statistical Area,39740,"Reading, PA",439117
Metrópoli municipal,26.2.02,Metrópoli municipal de Ciudad Obregón,436484
Metropolitan Statistical Area,41500,"Salinas, CA",436251
Metropolitan Statistical Area,15180,"Brownsville-Harlingen, TX",431874
Metropolitan Statistical Area,42340,"Savannah, GA",431589
Metropolitan Statistical Area,31700,"Manchester-Nashua, NH",430462
Metropolitan Statistical Area,36100,"Ocala, FL",428905
Metropolitan Statistical Area,25060,"Gulfport-Biloxi, MS",426793
Metropolitan Statistical Area,49660,"Youngstown-Warren, OH",426086
Metrópoli municipal,28.2.05,Metrópoli municipal de Nuevo Laredo,425058
Metropolitan Statistical Area,11700,"Asheville, NC",422333
Metropolitan Statistical Area,29180,"Lafayette, LA",419704
Metropolitan Statistical Area,34940,"Naples-Marco Island, FL",416233
Metropolitan Statistical Area,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC",413391
Departamento,00.00.04,Copán,412925
Metropolitan Statistical Area,33660,"Mobile, AL",412339
Metropolitan Statistical Area,11260,"Anchorage, AK",407213
Zona metropolitana,32.1.01,Zona metropolitana de Zacatecas-Guadalupe,405285
Metropolitan Statistical Area,22420,"Flint, MI",402279
Zona metropolitana,07.1.01,Zona metropolitana de Tapachula,400606
Metropolitan Statistical Area,15940,"Canton-Massillon, OH",400551
Metropolitan Statistical Area,13140,"Beaumont-Port Arthur, TX",398733
Metropolitan Statistical Area,45220,"Tallahassee, FL",397675
Metropolitan Statistical Area,43900,"Spartanburg, SC",395934
Metropolitan Statistical Area,22180,"Fayetteville, NC",393812
Metropolitan Statistical Area,45940,"Trenton-Princeton, NJ",392138
Metropolitan Statistical Area,33860,"Montgomery, AL",387885
Metropolitan Statistical Area,43340,"Shreveport-Bossier City, LA",383269
Metropolitan Statistical Area,21660,"Eugene-Springfield, OR",382396
Metropolitan Statistical Area,19340,"Davenport-Moline-Rock Island, IA-IL",381801
Metropolitan Statistical Area,22660,"Fort Collins-Loveland, CO",374574
Zona metropolitana,05.1.02,Zona metropolitana de Monclova-Frontera,374247
Metropolitan Statistical Area,11460,"Ann Arbor, MI",373875
Metropolitan Statistical Area,25860,"Hickory-Lenoir-Morganton, NC",373031
Metropolitan Statistical Area,12100,"Atlantic City-Hammonton, NJ",372989
Metropolitan Statistical Area,24540,"Greeley, CO",369745
Metropolitan Statistical Area,31180,"Lubbock, TX",367109
Metropolitan Statistical Area,26580,"Huntington-Ashland, WV-KY-OH",366920
Metropolitan Statistical Area,37900,"Peoria, IL",364565
Departamento,00.00.13,Lempira,363868
Metropolitan Statistical Area,23540,"Gainesville, FL",359780
Zona metropolitana,17.1.01,Zona metropolitana de Cuautla,358267
Zona metropolitana,21.1.03,Zona metropolitana de Tehuacán,357621
Metrópoli municipal,16.2.04,Metrópoli municipal de Uruapan,356786
Zona metropolitana,30.1.01,Zona metropolitana de Coatzacoalcos,355738
Metrópoli municipal,03.2.02,Metrópoli municipal de Los Cabos,351111
Metropolitan Statistical Area,30700,"Lincoln, NE",350626
Metrópoli municipal,28.2.03,Metrópoli municipal de Ciudad Victoria,349688
Metropolitan Statistical Area,17300,"Clarksville, TN-KY",345955
Departamento,00.00.02,Colón,345363
Zona metropolitana,30.1.02,Zona metropolitana de Córdoba,340564
Zona metropolitana,30.1.05,Zona metropolitana de Poza Rica,337199
Metropolitan Statistical Area,40420,"Rockford, IL",337103
Zona metropolitana,12.1.01,Zona metropolitana de Chilpancingo,336480
Metropolitan Statistical Area,24580,"Green Bay, WI",334697
Metrópoli municipal,23.2.03,Metrópoli municipal de Playa del Carmen,333800
Metropolitan Statistical Area,14500,"Boulder, CO",330262
Zona metropolitana,06.1.01,Zona metropolitana de Colima-Villa de Álvarez,328471
Metropolitan Statistical Area,43780,"South Bend-Mishawaka, IN-MI",325294
Metropolitan Statistical Area,17980,"Columbus, GA-AL",324343
Zona metropolitana,30.1.03,Zona metropolitana de Minatitlán,320559
Metropolitan Statistical Area,28420,"Kennewick-Richland, WA",319428
Metropolitan Statistical Area,40220,"Roanoke, VA",315749
Zona metropolitana,21.1.02,Zona metropolitana de San Martín Texmelucan,314514
Metropolitan Statistical Area,28700,"Kingsport-Bristol, TN-VA",313876
Metropolitan Statistical Area,25180,"Hagerstown-Martinsburg, MD-WV",311295
Metropolitan Statistical Area,18880,"Crestview-Fort Walton Beach-Destin, FL",310149
Metropolitan Statistical Area,43620,"Sioux Falls, SD-MN",308266
Metropolitan Statistical Area,47380,"Waco, TX",307123
Metropolitan Statistical Area,36500,"Olympia-Lacey-Tumwater, WA",302912
Metropolitan Statistical Area,32900,"Merced, CA",296774
Metropolitan Statistical Area,30980,"Longview, TX",295490
Metrópoli municipal,04.2.01,Metrópoli municipal de Campeche,294077
Metrópoli municipal,03.2.01,Metrópoli municipal de La Paz,292241
Metropolitan Statistical Area,46540,"Utica-Rome, NY",287932
Metropolitan Statistical Area,17780,"College Station-Bryan, TX",287462
Metropolitan Statistical Area,35980,"Norwich-New London-Willimantic, CT",282602
Metropolitan Statistical Area,46220,"Tuscaloosa, AL",281963
Metropolitan Statistical Area,42020,"San Luis Obispo-Paso Robles, CA",281843
Metropolitan Statistical Area,20260,"Duluth, MN-WI",281815
Metropolitan Statistical Area,14740,"Bremerton-Silverdale-Port Orchard, WA",281420
Metropolitan Statistical Area,16300,"Cedar Rapids, IA",278677
Metropolitan Statistical Area,43640,"Slidell-Mandeville-Covington, LA",277615
Metropolitan Statistical Area,11100,"Amarillo, TX",274650
Zona metropolitana,16.1.03,Zona metropolitana de Zamora,273641
Metropolitan Statistical Area,29700,"Laredo, TX",272823
Metropolitan Statistical Area,21780,"Evansville, IN",271793
Micropolitan Statistical Area,42580,"Seaford, DE",271134
Zona conurbada,11.3.06,Zona conurbada de Silao,269322
Zona metropolitana,13.1.02,Zona metropolitana de Tulancingo,268351
Metropolitan Statistical Area,22020,"Fargo, ND-MN",267793
Metropolitan Statistical Area,21500,"Erie, PA",267750
Metropolitan Statistical Area,31340,"Lynchburg, VA",266432
Departamento,00.00.10,Intibucá,265006
Metrópoli municipal,26.2.04,Metrópoli municipal de Nogales,264782
Metropolitan Statistical Area,28020,"Kalamazoo-Portage, MI",264780
Metropolitan Statistical Area,13460,"Bend, OR",264407
Metropolitan Statistical Area,42100,"Santa Cruz-Watsonville, CA",262406
Metropolitan Statistical Area,19300,"Daphne-Fairhope-Foley, AL",261608
Zona metropolitana,16.1.01,Zona metropolitana de La Piedad-Pénjamo,261450
Metropolitan Statistical Area,49420,"Yakima, WA",258523
Metropolitan Statistical Area,39150,"Prescott Valley-Prescott, AZ",252013
Metropolitan Statistical Area,46340,"Tyler, TX",249091
Metropolitan Statistical Area,11540,"Appleton, WI",248992
Metropolitan Statistical Area,13780,"Binghamton, NY",243971
Metropolitan Statistical Area,29340,"Lake Charles, LA",242975
Metropolitan Statistical Area,16580,"Champaign-Urbana, IL",242453
Metropolitan Statistical Area,31420,"Macon-Bibb County, GA",237617
Metropolitan Statistical Area,25940,"Hilton Head Island-Bluffton-Port Royal, SC",237393
Metropolitan Statistical Area,13380,"Bellingham, WA",234954
Metrópoli municipal,23.2.02,Metrópoli municipal de Chetumal,233648
Metropolitan Statistical Area,22900,"Fort Smith, AR-OK",232848
Metropolitan Statistical Area,45820,"Topeka, KS",232648
Metropolitan Statistical Area,12700,"Barnstable Town, MA",232570
Metropolitan Statistical Area,40340,"Rochester, MN",230742
Metropolitan Statistical Area,29200,"Lafayette-West Lafayette, IN",229701
Metropolitan Statistical Area,15540,"Burlington-South Burlington, VT",229445
Metropolitan Statistical Area,29740,"Las Cruces, NM",229366
Metropolitan Statistical Area,16820,"Charlottesville, VA",227336
Metropolitan Statistical Area,29420,"Lake Havasu City-Kingman, AZ",226479
Metropolitan Statistical Area,37460,"Panama City-Panama City Beach, FL",226221
Micropolitan Statistical Area,30150,"Lebanon-Claremont, NH-VT",224804
Departamento,00.00.12,La Paz,224553
Metropolitan Statistical Area,12020,"Athens-Clarke County, GA",223689
Zona conurbada,16.3.05,Zona conurbada de Lázaro Cárdenas,222352
Metropolitan Statistical Area,33740,"Monroe, LA",221921
Metropolitan Statistical Area,23580,"Gainesville, GA",221745
Metropolitan Statistical Area,32780,"Medford, OR",221331
Metropolitan Statistical Area,49740,"Yuma, AZ",220310
Metropolitan Statistical Area,17860,"Columbia, MO",219426
Metropolitan Statistical Area,27740,"Johnson City, TN",214948
Metropolitan Statistical Area,27340,"Jacksonville, NC",212954
Zona metropolitana,08.1.02,Zona metropolitana de Delicias,212135
Metropolitan Statistical Area,39460,"Punta Gorda, FL",212122
Metropolitan Statistical Area,30500,"Lexington Park, MD",211382
Micropolitan Statistical Area,25900,"Hilo-Kailua, HI",209790
Zona metropolitana,05.1.03,Zona metropolitana de Piedras Negras,209456
Metropolitan Statistical Area,17020,"Chico, CA",208334
Zona metropolitana,26.1.01,Zona metropolitana de Guaymas,208294
Metropolitan Statistical Area,41100,"St. George, UT",207943
Metropolitan Statistical Area,21140,"Elkhart-Goshen, IN",207436
Metropolitan Statistical Area,27900,"Joplin, MO-KS",207131
Metropolitan Statistical Area,44100,"Springfield, IL",206308
Metropolitan Statistical Area,12220,"Auburn-Opelika, AL",206006
Metropolitan Statistical Area,41060,"St. Cloud, MN",205878
